timestamp,forecasted_temp,forecasted_humidity,forecasted_weather_code
2024-07-25 00:00:00+00:00,19.415,71.0,3.0
2024-07-25 01:00:00+00:00,19.165,74.0,3.0
2024-07-25 02:00:00+00:00,18.965,73.0,2.0
2024-07-25 03:00:00+00:00,18.065,82.0,3.0
2024-07-25 04:00:00+00:00,17.965,82.0,3.0
2024-07-25 05:00:00+00:00,17.965,83.0,3.0
2024-07-25 06:00:00+00:00,18.565,80.0,2.0
2024-07-25 07:00:00+00:00,19.965,73.0,3.0
2024-07-25 08:00:00+00:00,21.665,66.0,2.0
2024-07-25 09:00:00+00:00,23.215,60.0,3.0
2024-07-25 10:00:00+00:00,24.415,55.0,3.0
2024-07-25 11:00:00+00:00,25.415,51.0,3.0
2024-07-25 12:00:00+00:00,26.565,47.0,3.0
2024-07-25 13:00:00+00:00,27.215,44.0,3.0
2024-07-25 14:00:00+00:00,27.665,42.0,3.0
2024-07-25 15:00:00+00:00,27.665,43.0,3.0
2024-07-25 16:00:00+00:00,26.715,43.0,3.0
2024-07-25 17:00:00+00:00,26.015001,51.0,3.0
2024-07-25 18:00:00+00:00,24.715,53.0,3.0
2024-07-25 19:00:00+00:00,23.065,62.0,61.0
2024-07-25 20:00:00+00:00,20.665,81.0,61.0
2024-07-25 21:00:00+00:00,20.215,84.0,3.0
2024-07-25 22:00:00+00:00,19.715,90.0,61.0
2024-07-25 23:00:00+00:00,19.565,92.0,61.0
2024-07-26 00:00:00+00:00,19.465,93.0,3.0
2024-07-26 01:00:00+00:00,19.515001,93.0,3.0
2024-07-26 02:00:00+00:00,19.565,92.0,3.0
2024-07-26 03:00:00+00:00,19.565,93.0,61.0
2024-07-26 04:00:00+00:00,19.515001,93.0,61.0
2024-07-26 05:00:00+00:00,19.515001,93.0,3.0
2024-07-26 06:00:00+00:00,19.715,93.0,3.0
2024-07-26 07:00:00+00:00,19.765001,93.0,61.0
2024-07-26 08:00:00+00:00,19.515001,95.0,63.0
2024-07-26 09:00:00+00:00,19.515001,94.0,63.0
2024-07-26 10:00:00+00:00,19.365,91.0,61.0
2024-07-26 11:00:00+00:00,19.715,89.0,3.0
2024-07-26 12:00:00+00:00,19.965,88.0,3.0
2024-07-26 13:00:00+00:00,20.165,87.0,3.0
2024-07-26 14:00:00+00:00,20.465,86.0,3.0
2024-07-26 15:00:00+00:00,20.715,86.0,3.0
2024-07-26 16:00:00+00:00,21.065,86.0,3.0
2024-07-26 17:00:00+00:00,21.615,84.0,3.0
2024-07-26 18:00:00+00:00,21.415,86.0,61.0
2024-07-26 19:00:00+00:00,20.865,92.0,80.0
2024-07-26 20:00:00+00:00,20.565,93.0,3.0
2024-07-26 21:00:00+00:00,20.365,94.0,3.0
2024-07-26 22:00:00+00:00,20.115,95.0,3.0
2024-07-26 23:00:00+00:00,19.915,96.0,45.0
2024-07-27 00:00:00+00:00,19.765001,96.0,45.0
2024-07-27 01:00:00+00:00,19.615,96.0,45.0
2024-07-27 02:00:00+00:00,19.465,93.0,3.0
2024-07-27 03:00:00+00:00,19.115,93.0,61.0
2024-07-27 04:00:00+00:00,19.0995,94.0,3.0
2024-07-27 05:00:00+00:00,18.8995,95.0,3.0
2024-07-27 06:00:00+00:00,19.0495,92.0,3.0
2024-07-27 07:00:00+00:00,19.2495,88.0,3.0
2024-07-27 08:00:00+00:00,19.4495,84.0,3.0
2024-07-27 09:00:00+00:00,19.9995,81.0,3.0
2024-07-27 10:00:00+00:00,21.0995,74.0,3.0
2024-07-27 11:00:00+00:00,21.5495,73.0,3.0
2024-07-27 12:00:00+00:00,21.5995,72.0,3.0
2024-07-27 13:00:00+00:00,21.6995,74.0,3.0
2024-07-27 14:00:00+00:00,21.5495,72.0,3.0
2024-07-27 15:00:00+00:00,21.2995,66.0,3.0
2024-07-27 16:00:00+00:00,21.1995,65.0,3.0
2024-07-27 17:00:00+00:00,21.4495,60.0,3.0
2024-07-27 18:00:00+00:00,20.8995,65.0,3.0
2024-07-27 19:00:00+00:00,19.9995,63.0,2.0
