,Unnamed: 0,Component ID,Component Type,Deployment Area,Risky,Longitude,Latitude,MGRS,Revised_Latitude,Revised_Longitude,Point1,Point2,Road Geometric,Lightning,WBGT,Visibility,temperature,Humidity,Weather Code
0,0,Canberra,Deployment Area,Canberra,,94.75,135.28,56KJA947352,-22.26182968,150.0377414,,,,,,,13.954666,64.625,1.0
1,1,Reindeer,Deployment Area,Reindeer,,103.5,134.0,56KKA035340,-22.2741912,150.1228207,,,,,,,13.430249,62.75,2.0
2,2,Monty,Deployment Area,Monty,,100.17,129.0,56KKA001290,-22.31871609,150.088925,,,,,,,13.15725,62.75,2.0
3,3,Potland,Deployment Area,Potland,,120.5,119.0,56KKA205190,-22.41238989,150.2850175,,,,,,,13.098999,61.0,2.0
